"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"402","Zeke Nnaji","PF","21","DEN","33","0","15.3","2.3","4.3",".532","0.9","1.8",".508","1.4","2.5",".549",".638","1.0","1.7",".618","1.3","2.2","3.5","0.3","0.2","0.2","0.4","1.8","6.5"
"403","Nerlens Noel","C","27","NYK","21","11","23.3","1.4","2.6",".545","0.0","0.1",".000","1.4","2.5",".577",".545","0.9","1.2",".720","2.1","4.0","6.2","0.8","1.2","1.4","0.8","2.7","3.7"
"404","Jaylen Nowell","SG","22","MIN","35","1","15.4","3.3","7.0",".473","0.9","2.5",".345","2.5","4.5",".544",".535","1.0","1.3",".745","0.3","1.7","2.1","2.1","0.6","0.2","0.5","1.2","8.5"
"405","Frank Ntilikina","PG","23","DAL","40","5","12.8","1.6","4.2",".386","0.8","2.1",".353","0.9","2.0",".420",".476","0.6","0.6",".957","0.2","1.3","1.5","1.3","0.6","0.1","0.6","1.1","4.5"
"406","Jusuf Nurkić","C","27","POR","47","47","27.4","5.5","10.2",".544","0.2","1.0",".217","5.3","9.2",".579",".554","3.3","4.8",".695","2.7","8.0","10.7","2.7","1.2","0.6","2.5","3.4","14.6"
"407","David Nwaba","SF","29","HOU","33","4","14.2","2.0","4.3",".475","0.3","1.1",".286","1.7","3.2",".538",".511","1.0","1.4",".702","0.9","3.0","3.9","0.8","0.7","0.5","0.5","1.2","5.4"
"408","Jordan Nwora","SF","23","MIL","40","9","19.5","3.2","7.7",".410","1.5","3.9",".372","1.7","3.8",".450",".505","0.4","0.5",".762","0.6","3.2","3.8","1.0","0.5","0.3","1.0","1.2","8.2"
"409","Royce O'Neale","SF","28","UTA","47","47","31.4","2.6","5.4",".490","1.5","3.6",".411","1.2","1.8",".647",".626","0.6","0.8",".769","0.8","4.3","5.1","2.4","1.3","0.5","0.9","2.5","7.4"
"410","Semi Ojeleye","PF","27","MIL","19","0","15.7","0.8","3.6",".235","0.5","2.1",".231","0.4","1.5",".241",".301","0.5","0.6",".818","1.3","1.7","3.1","0.3","0.3","0.3","0.3","1.4","2.6"
"411","Chuma Okeke","PF","23","ORL","40","10","23.6","3.0","7.8",".384","1.4","4.6",".295","1.6","3.2",".512",".471","0.8","0.9",".865","0.7","3.9","4.6","1.5","1.4","0.5","0.9","1.4","8.1"
"412","Josh Okogie","SG","23","MIN","32","6","12.7","0.8","2.3",".356","0.3","1.1",".294","0.5","1.2",".410",".425","0.7","1.2",".622","0.8","1.1","1.9","0.6","0.5","0.3","0.5","1.2","2.7"
"413","Onyeka Okongwu","C","21","ATL","17","6","23.2","3.9","5.3",".744","0.0","0.0","","3.9","5.3",".744",".744","1.8","2.5",".721","2.3","3.7","6.0","1.1","0.6","1.6","1.2","3.4","9.7"
"414","Isaac Okoro","SF","21","CLE","35","29","28.5","3.3","7.1",".456","0.8","2.8",".286","2.5","4.3",".566",".512","1.7","2.3",".734","1.1","2.2","3.3","1.9","0.8","0.3","1.1","2.5","9.0"
"415","KZ Okpala","PF","22","MIA","21","0","11.6","1.4","3.3",".435","0.4","1.2",".346","1.0","2.0",".488",".500","0.4","0.5",".727","0.5","1.4","2.0","0.7","0.2","0.3","0.2","1.2","3.7"
"416","Cameron Oliver","SF","25","ATL","2","0","21.5","5.0","7.5",".667","0.5","1.5",".333","4.5","6.0",".750",".700","1.0","1.5",".667","1.0","2.0","3.0","1.5","0.5","0.5","0.0","2.5","11.5"
"417","Kelly Olynyk","C","30","DET","12","1","22.6","4.5","10.1",".446","1.3","4.3",".314","3.2","5.8",".543",".512","2.3","3.6",".628","1.4","4.1","5.5","2.8","1.3","0.7","1.5","2.8","12.6"
"418","Eugene Omoruyi","SF","24","DAL","4","0","4.5","0.5","1.3",".400","0.3","0.5",".500","0.3","0.8",".333",".500","0.5","1.0",".500","0.5","1.3","1.8","0.5","0.0","0.0","0.0","0.5","1.8"
"419","Miye Oni","SG","24","UTA","16","0","2.8","0.1","0.6",".222","0.1","0.5",".125","0.1","0.1","1.000",".278","0.0","0.1",".000","0.1","0.4","0.4","0.3","0.0","0.0","0.1","0.4","0.3"
"420","Cedi Osman","SF","26","CLE","38","0","22.6","3.8","8.8",".430","2.1","5.7",".361","1.7","3.1",".555",".546","1.2","1.8",".652","0.4","2.0","2.4","1.7","1.0","0.2","0.9","1.9","10.8"
"421","Daniel Oturu","C","22","TOR","3","0","9.0","1.0","2.0",".500","0.0","0.3",".000","1.0","1.7",".600",".500","1.0","1.7",".600","0.3","1.3","1.7","0.0","0.0","0.7","0.0","0.3","3.0"
"422","Kelly Oubre Jr.","SF","26","CHO","45","10","28.0","6.1","13.3",".455","2.9","7.9",".371","3.1","5.4",".578",".565","1.6","2.4",".661","1.0","2.9","4.0","1.2","1.2","0.3","1.0","2.5","16.7"
