"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"491","Chris Silva","PF","25","TOT","8","0","8.3","1.0","1.6",".615","0.0","0.0","","1.0","1.6",".615",".615","1.0","1.3",".800","1.3","2.1","3.4","0.4","0.0","0.0","0.5","1.6","3.0"
"491","Chris Silva","PF","25","MIN","1","0","3.0","0.0","0.0","","0.0","0.0","","0.0","0.0","","","0.0","0.0","","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"491","Chris Silva","PF","25","MIA","7","0","9.0","1.1","1.9",".615","0.0","0.0","","1.1","1.9",".615",".615","1.1","1.4",".800","1.4","2.3","3.7","0.4","0.0","0.0","0.6","1.9","3.4"
"492","Marko Simonovic","C","22","CHI","9","0","3.9","0.4","1.7",".267","0.1","0.6",".200","0.3","1.1",".300",".300","0.9","1.2",".727","0.6","0.6","1.1","0.0","0.1","0.1","0.2","0.7","1.9"
"493","Anfernee Simons","SG","22","POR","44","17","28.1","5.7","12.7",".447","2.8","7.0",".408","2.8","5.8",".494",".559","1.6","1.7",".908","0.4","2.2","2.6","3.7","0.5","0.1","1.8","2.0","15.8"
"494","Jericho Sims","PF","23","NYK","15","0","6.1","0.5","0.6",".778","0.0","0.0","","0.5","0.6",".778",".778","0.2","0.3",".750","0.5","0.9","1.5","0.1","0.2","0.3","0.1","0.4","1.1"
"495","Deividas Sirvydis","SG","21","DET","3","0","9.0","0.3","3.3",".100","0.3","2.3",".143","0.0","1.0",".000",".150","0.0","0.0","","0.0","2.0","2.0","0.3","1.0","0.3","0.0","1.3","1.0"
"496","Javonte Smart","PG","22","MIL","13","1","12.3","0.8","3.3",".256","0.3","1.4",".222","0.5","1.9",".280",".302","0.4","0.5",".833","0.3","1.2","1.5","1.1","0.3","0.2","0.7","0.8","2.4"
"497","Marcus Smart","PG","27","BOS","42","42","33.6","3.9","9.9",".398","1.4","4.6",".303","2.5","5.2",".482",".469","2.0","2.5",".792","0.6","3.4","4.0","5.4","1.9","0.3","2.1","2.5","11.3"
"498","Dennis Smith Jr.","PG","24","POR","31","4","16.9","2.2","5.2",".416","0.2","0.9",".222","2.0","4.3",".455",".435","1.1","1.6",".694","0.5","1.8","2.3","3.5","1.1","0.3","1.4","1.4","5.6"
"499","Ish Smith","PG","33","CHO","34","1","14.0","2.0","5.1",".395","0.3","0.7",".417","1.7","4.4",".392",".424","0.4","0.6",".632","0.3","1.3","1.5","2.6","0.6","0.3","1.0","1.0","4.6"
"500","Jalen Smith","PF","21","PHO","24","4","14.2","2.4","5.2",".464","0.3","1.4",".242","2.1","3.8",".543",".496","1.6","2.1",".780","2.1","3.3","5.5","0.2","0.3","0.7","0.9","2.0","6.8"
"501","Xavier Sneed","SF","24","MEM","2","0","4.0","0.0","1.0",".000","0.0","1.0",".000","0.0","0.0","",".000","0.0","0.0","","0.5","0.5","1.0","0.0","0.0","0.0","0.0","1.0","0.0"
"502","Tony Snell","SG","30","POR","35","8","13.6","0.8","2.3",".338","0.5","1.7",".295","0.3","0.5",".474",".450","0.1","0.1","1.000","0.3","1.5","1.8","0.5","0.1","0.1","0.3","1.1","2.1"
"503","Jaden Springer","SG","19","PHI","2","0","3.0","0.5","0.5","1.000","0.0","0.0","","0.5","0.5","1.000","1.000","0.0","0.0","","0.5","0.5","1.0","0.0","0.0","1.0","0.5","0.0","1.0"
"504","Cassius Stanley","SG","22","DET","9","1","17.2","2.1","5.1",".413","0.4","1.9",".235","1.7","3.2",".517",".457","1.1","1.1","1.000","0.6","1.6","2.1","0.4","0.6","0.2","0.7","1.9","5.8"
"505","Nik Stauskas","SG","28","MIA","2","0","12.0","1.5","4.0",".375","1.0","2.0",".500","0.5","2.0",".250",".500","1.5","2.0",".750","0.5","1.0","1.5","0.5","0.0","0.0","0.0","0.5","5.5"
"506","Lance Stephenson","SG-SF","31","TOT","21","0","17.0","2.8","6.2",".443","0.6","2.1",".267","2.2","4.1",".535",".489","0.9","1.2",".720","0.3","2.5","2.8","3.5","0.4","0.0","1.5","1.9","7.0"
"506","Lance Stephenson","SF","31","ATL","6","0","11.7","0.8","2.2",".385","0.0","0.5",".000","0.8","1.7",".500",".385","0.2","0.3",".500","0.2","2.3","2.5","1.8","0.0","0.0","0.7","1.3","1.8"
"506","Lance Stephenson","SG","31","IND","15","0","19.2","3.5","7.9",".449","0.8","2.8",".286","2.7","5.1",".539",".500","1.1","1.5",".739","0.3","2.6","2.9","4.1","0.6","0.1","1.9","2.1","9.0"
"507","Lamar Stevens","PF","24","CLE","34","8","15.1","2.1","4.6",".462","0.4","1.2",".317","1.7","3.4",".513",".503","0.6","0.9",".655","0.8","1.6","2.4","0.6","0.4","0.2","0.6","1.4","5.2"
"508","Isaiah Stewart","C","20","DET","41","41","25.3","3.4","6.5",".526","0.1","0.5",".136","3.4","6.0",".561",".532","1.0","1.4",".661","2.7","5.2","7.9","1.1","0.3","1.1","1.3","2.9","7.9"
"509","Max Strus","SF","25","MIA","39","8","23.7","3.9","8.8",".442","2.6","6.4",".398","1.3","2.3",".560",".588","0.8","1.0",".775","0.5","3.0","3.4","1.3","0.3","0.2","0.7","1.7","11.1"
"510","Jalen Suggs","PG","20","ORL","30","27","28.2","4.3","11.8",".366","1.1","4.2",".252","3.3","7.6",".430",".411","2.7","3.5",".762","0.7","3.0","3.7","4.0","1.2","0.5","3.3","3.0","12.4"
"511","Craig Sword","SG","28","WAS","3","0","6.3","1.0","1.3",".750","0.0","0.3",".000","1.0","1.0","1.000",".750","0.0","0.0","","0.0","0.0","0.0","0.3","1.3","0.0","0.3","2.3","2.0"
"512","Keifer Sykes","PG","28","IND","14","8","20.5","2.7","6.9",".396","1.0","3.2",".311","1.7","3.6",".471",".469","0.7","0.8",".909","0.4","1.5","1.9","2.4","0.5","0.1","1.5","1.9","7.1"
"513","Jae'Sean Tate","SF","26","HOU","47","46","27.0","4.9","9.9",".501","0.8","2.7",".305","4.1","7.1",".576",".543","1.9","2.6",".702","1.7","3.9","5.7","3.1","0.9","0.6","1.8","3.6","12.6"
"514","Jayson Tatum","SF","23","BOS","47","47","36.6","9.1","21.1",".431","2.8","8.5",".328","6.3","12.7",".499",".496","5.2","6.1",".847","1.2","7.3","8.4","4.0","1.0","0.8","3.0","2.5","26.2"
"515","Terry Taylor","SG","22","IND","5","0","7.0","1.2","1.8",".667","0.0","0.2",".000","1.2","1.6",".750",".667","0.6","0.8",".750","1.2","1.4","2.6","0.6","0.0","0.4","0.0","0.4","3.0"
"516","Garrett Temple","SG","35","NOP","47","16","20.1","2.1","5.4",".387","1.1","3.4",".323","1.0","2.1",".490",".486","0.6","0.8",".703","0.6","2.2","2.8","1.3","0.8","0.4","0.8","1.6","5.9"
"517","Emanuel Terry","PF","25","PHO","3","0","6.0","0.0","1.7",".000","0.0","0.0","","0.0","1.7",".000",".000","0.0","0.0","","2.7","2.3","5.0","0.7","0.3","0.0","1.7","1.3","0.0"
"518","Tyrell Terry","PG","21","MEM","2","0","1.5","0.5","0.5","1.000","0.0","0.0","","0.5","0.5","1.000","1.000","0.0","0.0","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.0"
"519","Jon Teske","C","24","MEM","3","0","2.7","0.0","0.3",".000","0.0","0.0","","0.0","0.3",".000",".000","0.0","0.7",".000","0.0","0.7","0.7","0.3","0.3","0.0","0.0","0.3","0.0"
"520","Daniel Theis","C","29","HOU","26","21","22.5","3.2","6.9",".469","0.9","3.0",".291","2.3","3.8",".610",".534","1.0","1.5",".675","1.2","3.8","5.0","0.8","0.4","0.7","1.2","2.4","8.4"
"521","Brodric Thomas","SG","25","BOS","7","0","4.0","0.1","1.3",".111","0.0","0.9",".000","0.1","0.4",".333",".111","0.3","0.3","1.000","0.3","0.4","0.7","0.7","0.0","0.0","0.4","0.1","0.6"
"522","Cam Thomas","SG","20","BRK","38","1","17.4","3.0","7.1",".428","0.7","2.7",".252","2.3","4.4",".536",".476","0.9","1.1",".805","0.2","2.2","2.4","1.1","0.5","0.1","0.8","0.8","7.6"
"523","Isaiah Thomas","PG","32","TOT","5","1","22.8","3.0","9.4",".319","1.0","5.0",".200","2.0","4.4",".455",".372","1.6","2.2",".727","0.2","1.4","1.6","2.0","0.0","0.4","1.0","2.4","8.6"
"523","Isaiah Thomas","PG","32","LAL","4","1","25.3","3.0","9.8",".308","1.3","5.5",".227","1.8","4.3",".412",".372","2.0","2.8",".727","0.3","1.8","2.0","1.5","0.0","0.5","1.3","3.0","9.3"
"523","Isaiah Thomas","PG","32","DAL","1","0","13.0","3.0","8.0",".375","0.0","3.0",".000","3.0","5.0",".600",".375","0.0","0.0","","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","6.0"
"524","Matt Thomas","SG","27","CHI","26","0","12.2","1.6","3.8",".424","1.0","2.5",".422","0.6","1.3",".429",".561","0.3","0.5",".692","0.1","1.1","1.2","0.6","0.2","0.0","0.2","0.5","4.6"
"525","Klay Thompson","SG","31","GSW","9","9","23.1","5.8","14.2",".406","2.6","7.2",".354","3.2","7.0",".460",".496","1.7","1.7","1.000","0.7","2.7","3.3","2.7","0.6","0.4","1.8","1.1","15.8"
"526","Tristan Thompson","PF","30","SAC","30","3","15.2","2.5","5.0",".503","0.0","0.0","1.000","2.5","5.0",".500",".507","1.1","2.0",".533","2.4","3.0","5.4","0.6","0.4","0.4","1.0","1.7","6.2"
"527","JT Thor","PF","19","CHO","15","0","8.5","0.7","2.1",".344","0.3","1.3",".250","0.4","0.8",".500",".422","0.5","0.7",".700","0.4","0.9","1.3","0.5","0.3","0.4","0.3","0.9","2.3"
"528","Matisse Thybulle","SG","24","PHI","35","20","25.9","2.4","4.9",".494","0.7","2.5",".287","1.7","2.4",".711",".568","0.3","0.4",".714","0.5","1.9","2.4","1.1","1.9","1.1","0.7","2.3","5.8"
"529","Killian Tillie","C","23","MEM","31","3","13.7","1.4","3.7",".365","0.8","2.5",".342","0.5","1.3",".410",".478","0.2","0.3",".625","0.6","1.1","1.7","0.6","0.7","0.5","0.4","1.7","3.7"
"530","Xavier Tillman Sr.","PF","23","MEM","38","0","13.3","1.8","4.0",".444","0.2","0.9",".176","1.6","3.1",".521",".464","0.8","1.3",".646","1.2","1.8","3.0","1.1","1.1","0.4","0.7","1.3","4.5"
"531","Isaiah Todd","PF","20","WAS","9","0","3.9","0.6","1.7",".333","0.4","1.1",".400","0.1","0.6",".200",".467","0.2","0.4",".500","0.2","0.8","1.0","0.1","0.2","0.2","0.1","0.1","1.8"
"532","Obi Toppin","PF","23","NYK","45","2","15.8","3.0","5.5",".534","0.4","1.6",".243","2.6","3.9",".657",".570","1.3","1.7",".769","1.0","2.6","3.6","0.9","0.3","0.5","0.8","1.4","7.6"
"533","Juan Toscano-Anderson","SF","28","GSW","48","4","15.0","1.8","3.6",".488","0.4","1.3",".274","1.4","2.3",".609",".538","0.7","1.1",".593","0.5","2.3","2.8","1.9","0.7","0.3","1.1","1.6","4.5"
"534","Karl-Anthony Towns","C","26","MIN","43","43","34.5","8.6","16.7",".515","2.2","5.4",".410","6.4","11.3",".566",".582","4.9","6.1",".808","2.8","6.6","9.4","3.9","1.1","1.2","3.3","3.7","24.4"
"535","Gary Trent Jr.","SG","23","TOR","38","37","34.4","6.4","15.1",".424","2.9","7.8",".380","3.5","7.4",".471",".522","1.7","2.0",".840","0.4","2.3","2.7","2.0","1.9","0.3","0.9","2.2","17.4"
"536","P.J. Tucker","PF","36","MIA","44","43","28.5","3.2","6.4",".502","1.5","3.1",".471","1.7","3.3",".531",".617","0.8","1.0",".733","1.5","3.9","5.4","2.2","0.8","0.3","1.0","2.4","8.6"
"537","Rayjon Tucker","SG","24","DEN","3","0","9.7","0.3","0.7",".500","0.3","0.7",".500","0.0","0.0","",".750","1.0","1.3",".750","0.3","1.0","1.3","1.3","0.3","0.0","0.0","1.0","2.0"
"538","Myles Turner","C","25","IND","42","42","29.4","4.8","9.4",".509","1.5","4.4",".333","3.3","5.0",".662",".587","1.9","2.5",".752","1.5","5.5","7.1","1.0","0.7","2.8","1.3","2.8","12.9"
"539","Jonas Valančiūnas","C","29","NOP","43","43","31.6","7.0","13.4",".526","1.0","2.4",".417","6.0","11.0",".550",".563","3.3","4.0",".819","3.4","8.6","12.0","2.5","0.5","0.9","2.4","3.2","18.3"
"540","Denzel Valentine","SG","28","TOT","24","0","9.3","1.0","2.8",".379","0.8","2.0",".404","0.3","0.8",".316",".523","0.0","0.0","","0.4","1.4","1.8","0.5","0.3","0.0","0.5","0.8","2.9"
"540","Denzel Valentine","SG","28","CLE","22","0","9.3","1.0","2.8",".371","0.8","2.0",".409","0.2","0.8",".278",".516","0.0","0.0","","0.4","1.3","1.7","0.5","0.3","0.0","0.5","0.8","2.9"
"540","Denzel Valentine","SG","28","UTA","2","0","9.0","1.0","2.0",".500","0.5","1.5",".333","0.5","0.5","1.000",".625","0.0","0.0","","0.0","2.0","2.0","0.0","0.5","0.0","1.0","1.5","2.5"
"541","Jarred Vanderbilt","PF","22","MIN","45","38","26.2","2.9","5.0",".583","0.0","0.2",".182","2.8","4.7",".604",".587","1.1","1.7",".662","3.2","5.9","9.1","1.4","1.6","0.7","1.0","2.7","7.0"
"542","Fred VanVleet","PG","27","TOR","42","42","38.6","7.4","17.6",".418","3.9","10.0",".392","3.4","7.6",".453",".530","3.0","3.5",".870","0.8","3.9","4.7","7.0","1.7","0.5","2.7","2.5","21.7"
"543","Devin Vassell","SF","21","SAS","43","7","25.3","4.4","10.1",".437","1.7","5.0",".347","2.7","5.1",".525",".523","0.8","1.1",".766","0.6","3.7","4.3","1.4","0.9","0.7","0.8","2.1","11.4"
"544","Gabe Vincent","PG","25","MIA","41","17","23.6","3.4","7.9",".435","1.9","4.9",".395","1.5","3.0",".500",".557","0.7","0.9",".789","0.4","1.6","2.0","3.2","0.9","0.2","1.6","2.3","9.5"
"545","Nikola Vučević","C","31","CHI","42","42","33.3","7.0","15.6",".449","1.6","5.0",".332","5.4","10.7",".503",".502","1.1","1.5",".738","2.0","9.4","11.4","3.6","1.0","1.1","1.7","2.4","16.8"
"546","Dean Wade","PF","25","CLE","35","19","19.0","1.9","4.2",".459","1.0","2.7",".375","0.9","1.5",".615",".581","0.3","0.6",".600","0.7","2.5","3.2","1.1","0.5","0.1","0.4","1.6","5.3"
"547","Franz Wagner","SF","20","ORL","51","51","32.3","6.0","12.9",".464","1.2","3.4",".343","4.8","9.5",".508",".510","2.6","3.0",".851","1.1","3.5","4.6","2.9","0.9","0.5","1.6","2.2","15.7"
"548","Moritz Wagner","C","24","ORL","41","0","12.5","2.6","5.2",".500","0.9","2.7",".339","1.7","2.5",".676",".589","1.4","1.7",".817","0.5","1.9","2.4","1.1","0.3","0.2","0.8","1.9","7.6"
"549","Ish Wainright","PF","27","PHO","23","0","7.6","0.9","2.3",".385","0.4","1.3",".310","0.5","1.0",".478",".471","0.1","0.2",".500","0.8","0.7","1.5","0.4","0.3","0.2","0.4","1.3","2.2"
"550","Kemba Walker","PG","31","NYK","29","29","26.7","4.5","10.9",".413","2.2","5.8",".379","2.3","5.0",".452",".514","1.7","2.1",".817","0.4","2.9","3.3","3.5","0.8","0.2","1.4","1.2","12.9"
"551","Lonnie Walker IV","SG","23","SAS","47","6","22.7","4.2","10.6",".394","1.4","4.9",".296","2.7","5.7",".478",".462","1.5","1.8",".824","0.2","2.4","2.6","2.3","0.6","0.3","1.1","1.4","11.3"
"552","M.J. Walker","SG","23","PHO","2","0","4.0","0.0","2.0",".000","0.0","1.0",".000","0.0","1.0",".000",".000","0.0","0.0","","0.0","0.5","0.5","0.5","1.0","0.0","0.0","0.5","0.0"
"553","Derrick Walton","PG","26","DET","3","3","36.0","2.0","8.7",".231","1.0","4.3",".231","1.0","4.3",".231",".288","1.3","1.3","1.000","0.7","2.7","3.3","7.0","2.3","1.3","3.7","2.7","6.3"
"554","Brad Wanamaker","PG","32","TOT","23","2","13.9","1.2","3.3",".364","0.2","0.7",".235","1.0","2.6",".400",".390","1.0","1.1",".920","0.3","1.4","1.7","2.4","0.3","0.3","1.0","2.0","3.6"
"554","Brad Wanamaker","PG","32","IND","22","1","13.3","1.2","3.3",".361","0.2","0.8",".235","1.0","2.5",".400",".389","0.9","1.0",".909","0.3","1.3","1.6","2.2","0.2","0.3","1.0","1.9","3.5"
"554","Brad Wanamaker","PG","32","WAS","1","1","27.0","2.0","5.0",".400","0.0","0.0","","2.0","5.0",".400",".400","3.0","3.0","1.000","0.0","4.0","4.0","7.0","2.0","0.0","0.0","3.0","7.0"
"555","Duane Washington Jr.","PG","21","IND","19","7","19.4","3.3","8.5",".385","1.5","4.4",".349","1.7","4.1",".423",".475","0.8","1.1",".750","0.1","1.5","1.5","1.8","0.4","0.1","1.1","1.1","8.8"
"556","P.J. Washington","PF","23","CHO","34","3","23.6","3.4","7.7",".437","1.8","4.6",".387","1.6","3.1",".509",".552","1.3","1.7",".729","1.3","3.9","5.2","2.1","0.7","1.0","1.4","2.5","9.7"
"557","Yuta Watanabe","SF","27","TOR","21","4","16.7","1.9","4.8",".386","1.0","2.7",".351","0.9","2.1",".432",".485","0.7","1.2",".538","0.7","2.7","3.3","0.7","0.3","0.5","0.8","1.5","5.3"
"558","Tremont Waters","PG","24","TOT","3","0","16.7","1.3","4.7",".286","0.7","3.0",".222","0.7","1.7",".400",".357","0.0","0.0","","0.0","1.3","1.3","2.3","1.7","0.0","1.3","1.3","3.3"
"558","Tremont Waters","PG","24","TOR","2","0","21.0","1.5","6.0",".250","1.0","4.5",".222","0.5","1.5",".333",".333","0.0","0.0","","0.0","2.0","2.0","3.5","2.0","0.0","2.0","1.0","4.0"
"558","Tremont Waters","PG","24","WAS","1","0","8.0","1.0","2.0",".500","0.0","0.0","","1.0","2.0",".500",".500","0.0","0.0","","0.0","0.0","0.0","0.0","1.0","0.0","0.0","2.0","2.0"
"559","Trendon Watford","SF","21","POR","24","0","10.9","1.6","2.9",".557","0.0","0.3",".000","1.6","2.7",".609",".557","0.6","1.0",".652","0.7","2.0","2.6","0.9","0.2","0.5","0.6","1.3","3.9"
"560","Paul Watson","SF","27","OKC","9","3","17.3","1.3","3.9",".343","0.7","2.9",".231","0.7","1.0",".667",".429","0.1","0.2",".500","0.3","2.7","3.0","0.9","0.3","0.3","0.4","1.1","3.4"
"561","Quinndary Weatherspoon","SG","25","GSW","3","0","5.3","1.3","1.3","1.000","0.0","0.0","","1.3","1.3","1.000","1.000","0.0","0.0","","0.0","0.3","0.3","0.0","0.3","0.3","0.3","1.7","2.7"
"562","Russell Westbrook","PG","33","LAL","51","51","34.8","7.2","16.2",".445","1.1","3.5",".309","6.1","12.7",".482",".478","3.5","5.1",".674","1.4","6.5","7.8","7.7","1.1","0.3","4.1","3.1","18.9"
"563","Coby White","PG","21","CHI","31","11","27.3","4.7","10.5",".443","2.0","5.5",".363","2.7","5.0",".532",".538","1.5","1.9",".828","0.3","2.5","2.8","2.6","0.5","0.3","1.3","2.2","12.9"
"564","Derrick White","SG","27","SAS","45","44","30.4","4.9","11.7",".419","1.6","5.2",".298","3.4","6.5",".517",".486","2.8","3.3",".864","0.5","3.0","3.5","5.7","1.0","0.9","1.7","2.4","14.2"
"565","Hassan Whiteside","C","32","UTA","40","7","17.8","3.4","5.5",".624","0.0","0.0","","3.4","5.5",".624",".624","1.7","2.6",".644","2.3","4.8","7.2","0.4","0.3","1.4","0.9","3.0","8.5"
"566","Joe Wieskamp","SG","22","SAS","13","0","5.9","0.8","1.8",".478","0.5","1.3",".412","0.3","0.5",".667",".630","0.2","0.5",".429","0.2","0.4","0.5","0.3","0.2","0.2","0.0","0.4","2.5"
"567","Aaron Wiggins","SG","23","OKC","29","16","21.6","2.8","5.6",".491","0.8","2.5",".315","2.0","3.1",".633",".561","1.1","1.6",".689","0.8","2.5","3.3","1.0","0.8","0.2","0.9","1.9","7.4"
"568","Andrew Wiggins","SF","26","GSW","46","46","31.7","6.8","14.1",".485","2.3","5.5",".414","4.6","8.7",".530",".565","2.3","3.4",".662","1.1","3.2","4.3","2.1","1.0","0.7","1.5","1.9","18.2"
"569","Lindell Wigginton","PG","23","MIL","3","0","4.0","1.3","1.3","1.000","0.3","0.3","1.000","1.0","1.0","1.000","1.125","0.0","0.0","","0.0","0.3","0.3","0.0","0.3","0.0","0.3","0.3","3.0"
"570","Brandon Williams","PG","22","POR","2","0","6.0","1.0","1.5",".667","0.0","0.0","","1.0","1.5",".667",".667","2.0","3.5",".571","0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","4.0"
"571","Grant Williams","PF","23","BOS","46","13","22.8","2.3","4.9",".476","1.4","3.4",".426","0.9","1.6",".583",".621","0.9","1.0",".889","0.8","2.6","3.3","1.0","0.5","0.7","0.8","2.1","7.0"
"572","Kenrich Williams","SF","27","OKC","40","0","21.0","2.8","6.2",".450","0.9","2.3",".385","1.9","4.0",".487",".520","0.6","1.1",".535","1.5","2.7","4.1","1.9","0.9","0.1","0.9","1.7","7.1"
"573","Lou Williams","PG","35","ATL","35","0","14.5","2.5","6.3",".397","0.8","2.2",".351","1.7","4.1",".423",".459","1.3","1.5",".887","0.3","1.3","1.5","1.9","0.5","0.1","0.8","1.0","7.1"
"574","Patrick Williams","PF","20","CHI","5","5","25.0","2.6","4.6",".565","0.6","1.2",".500","2.0","3.4",".588",".630","0.8","0.8","1.000","0.2","2.0","2.2","0.6","0.6","0.4","0.4","1.8","6.6"
"575","Robert Williams","C","24","BOS","40","40","29.7","4.3","5.9",".733","0.0","0.0",".000","4.3","5.9",".736",".733","1.2","1.7",".716","3.9","5.7","9.6","2.0","0.9","2.1","1.2","2.1","9.9"
"576","Ziaire Williams","SF","20","MEM","32","11","20.7","2.6","6.4",".410","1.0","3.8",".258","1.7","2.7",".624",".485","0.5","0.6",".850","0.3","1.3","1.6","0.8","0.5","0.2","0.6","1.9","6.8"
"577","D.J. Wilson","PF","25","TOR","3","1","16.0","2.7","3.7",".727","0.0","0.7",".000","2.7","3.0",".889",".727","2.7","3.3",".800","0.3","4.3","4.7","1.3","1.7","0.3","0.7","1.7","8.0"
"578","Dylan Windler","SF","25","CLE","34","0","10.0","1.0","2.3",".429","0.6","1.6",".389","0.4","0.7",".522",".565","0.2","0.3",".778","0.4","1.4","1.8","0.7","0.2","0.1","0.4","1.1","2.8"
"579","Justise Winslow","SF","25","LAC","36","1","12.9","1.7","3.9",".446","0.1","0.8",".172","1.6","3.1",".518",".464","0.7","1.1",".610","0.8","2.8","3.7","1.4","0.6","0.5","1.0","1.2","4.3"
"580","Cassius Winston","PG","23","WAS","2","0","3.5","0.0","1.0",".000","0.0","1.0",".000","0.0","0.0","",".000","1.0","1.0","1.000","0.0","0.0","0.0","1.0","0.0","0.0","0.5","0.0","1.0"
"581","Christian Wood","C","26","HOU","46","45","30.8","6.5","13.4",".484","1.7","4.8",".360","4.7","8.6",".553",".549","2.8","4.6",".616","1.7","8.6","10.3","2.1","0.7","0.9","1.8","2.4","17.5"
"582","Robert Woodard II","SF","22","SAC","10","0","3.1","0.1","0.9",".111","0.1","0.2",".500","0.0","0.7",".000",".167","0.2","0.2","1.000","0.3","0.5","0.8","0.1","0.0","0.1","0.1","0.2","0.5"
"583","Delon Wright","SG","29","ATL","44","4","18.0","1.6","3.5",".454","0.6","1.4",".426","1.0","2.1",".473",".539","0.7","0.8",".806","0.7","2.0","2.7","2.5","0.9","0.2","0.7","0.7","4.4"
"584","McKinley Wright IV","PG","23","MIN","3","0","3.0","0.7","1.0",".667","0.3","0.7",".500","0.3","0.3","1.000",".833","0.0","0.0","","0.0","0.0","0.0","0.3","0.0","0.0","0.3","0.3","1.7"
"585","Moses Wright","PF","23","LAC","1","0","1.0","0.0","0.0","","0.0","0.0","","0.0","0.0","","","0.0","0.0","","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0"
"586","Thaddeus Young","PF","33","SAS","25","0","13.8","2.8","5.0",".573","0.0","0.2",".000","2.8","4.8",".597",".573","0.4","0.8",".450","1.4","2.0","3.4","2.2","0.8","0.3","1.1","1.4","6.0"
"587","Trae Young","PG","23","ATL","45","45","34.5","9.3","20.6",".452","2.9","7.8",".376","6.4","12.8",".498",".523","6.2","7.0",".895","0.6","3.4","4.1","9.3","1.0","0.1","4.2","1.6","27.7"
"588","Omer Yurtseven","C","23","MIA","37","10","14.8","2.7","5.1",".524","0.0","0.2",".143","2.6","4.9",".538",".526","0.9","1.4",".640","1.8","4.5","6.2","1.1","0.4","0.5","0.9","1.8","6.2"
"589","Cody Zeller","C","29","POR","27","0","13.1","1.9","3.3",".567","0.0","0.1",".000","1.9","3.2",".593",".567","1.4","1.8",".776","1.9","2.8","4.6","0.8","0.3","0.2","0.7","2.1","5.2"
"590","Ivica Zubac","C","24","LAC","48","48","24.3","3.7","5.6",".652","0.0","0.0","","3.7","5.6",".652",".652","2.3","3.1",".735","2.6","5.4","8.0","1.3","0.5","1.0","1.4","2.5","9.6"
