"23","Marvin Bagley III","PF","22","SAC","20","7","20.6","3.1","7.3",".425","0.6","2.4",".234","2.6","5.0",".515",".462","1.2","1.7",".706","2.3","4.8","7.1","0.7","0.3","0.2","0.7","1.7","8.0"
"24","LaMelo Ball","PG","20","CHO","33","33","31.9","7.0","16.5",".424","2.8","7.2",".384","4.2","9.3",".455",".507","2.6","2.9",".876","1.6","5.8","7.3","7.8","1.7","0.5","3.1","3.1","19.3"
"25","Lonzo Ball","PG","24","CHI","30","30","35.4","4.6","11.3",".411","3.0","7.4",".410","1.6","3.9",".414",".546","0.6","0.7",".773","1.0","4.5","5.5","5.1","1.8","1.0","2.4","2.4","12.9"
"26","Mo Bamba","C","23","ORL","30","30","28.1","4.1","9.0",".459","1.3","3.9",".342","2.8","5.1",".549",".533","0.6","0.9",".731","2.2","6.3","8.5","1.6","0.8","2.1","1.3","2.5","10.2"
"27","Desmond Bane","SF","23","MEM","39","39","30.0","6.6","14.3",".466","2.9","6.9",".416","3.8","7.4",".512",".567","1.2","1.4",".906","0.5","3.9","4.4","2.3","1.0","0.5","1.4","2.5","17.4"
"28","Dalano Banton","SF","22","TOR","31","1","12.2","1.5","3.7",".421","0.2","0.8",".280","1.3","2.9",".461",".452","0.6","0.8",".750","0.6","1.5","2.1","1.8","0.4","0.2","1.1","1.3","3.9"
"29","Cat Barber","PG","27","ATL","3","0","4.3","0.0","1.3",".000","0.0","0.0","","0.0","1.3",".000",".000","0.0","1.3",".000","0.3","0.7","1.0","1.0","0.0","0.0","0.3","0.3","0.0"
"30","Harrison Barnes","PF","29","SAC","35","35","33.5","5.1","11.4",".447","2.1","5.0",".420","3.0","6.4",".469",".539","4.2","5.1",".831","1.2","4.9","6.1","2.3","0.7","0.2","1.8","1.3","16.5"
"31","Scottie Barnes","PF","20","TOR","30","30","35.8","6.0","12.2",".492","0.8","2.3",".338","5.2","9.9",".527",".523","2.3","3.2",".719","2.9","5.2","8.1","3.5","1.1","0.9","2.0","2.9","15.1"
"32","RJ Barrett","SF","21","NYK","31","31","31.2","5.6","13.7",".410","1.8","5.4",".329","3.8","8.3",".463",".475","2.7","3.8",".706","0.7","4.8","5.6","2.2","0.5","0.3","1.8","2.0","15.7"
